manufacturer,model_name,vehicle_category,ex_showroom_price_inr,price_basis,battery_capacity_kwh,range_km,range_standard,top_speed_kmh,motor_peak_power_kw,launch_status,source_url,source_type,accessed_date,verification_status,verification_notes,source_dataset,provenance_class,eligible_as_observed_analytics
Ampere,Nexus EX,electric scooter,121499.0,ex-showroom inclusive of subsidy,3.0,100.0,manufacturer real-world,93.0,4.0,current,https://ampere.greaveselectricmobility.com/nexus-details,official OEM product page,2026-09-07,verified,Range is explicitly manufacturer-described real-world range not IDC.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ampere,Nexus ST,electric scooter,131499.0,ex-showroom inclusive of subsidy,3.0,100.0,manufacturer real-world,93.0,4.0,current,https://ampere.greaveselectricmobility.com/nexus-details,official OEM product page,2026-09-07,verified,Range is explicitly manufacturer-described real-world range not IDC.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ather Energy,450 Apex,electric scooter,,,3.7,157.0,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Source verifies battery and IDC range only.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ather Energy,450S 3.7 kWh,electric scooter,,,3.7,161.0,IDC,,,launched 2025,https://media.atherenergy.com/Press-Release-July-31-2025.pdf,official OEM press release,2026-09-07,verified,Source verifies battery and IDC range only.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ather Energy,450X 2.9 kWh,electric scooter,,,2.9,126.0,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Source verifies IDC range only.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ather Energy,450X 3.7 kWh,electric scooter,,,3.7,161.0,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Source verifies IDC range only.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ather Energy,Rizta S 2.9 kWh,electric scooter,108156.0,ex-showroom Pune,2.9,123.0,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Price location-specific.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ather Energy,Rizta S 3.7 kWh,electric scooter,137047.0,ex-showroom Delhi,3.7,159.0,IDC,,,launched 2025,https://media.atherenergy.com/Ather-Energy-Press-Release-July-01-2025.pdf,official OEM press release,2026-09-07,verified,Price location-specific.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ather Energy,Rizta Z 2.9 kWh,electric scooter,129656.0,ex-showroom Pune,2.9,123.0,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Price location-specific.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Ather Energy,Rizta Z 3.7 kWh,electric scooter,149647.0,ex-showroom Pune,3.7,159.0,IDC,,,current,https://media.atherenergy.com/Press-Release-June-02-2025.pdf,official OEM press release,2026-09-07,verified,Price location-specific.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
BGauss,C12i MAX,electric scooter,126141.0,ex-showroom,3.2,135.0,ARAI,60.0,2.5,current,https://www.bgauss.com/c12i/,official OEM product page,2026-09-12,verified,Family commuter scooter with IP67 rated battery pack.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
BGauss,RUV 350,electric scooter,109999.0,starting ex-showroom,3.0,135.0,IDC,75.0,3.5,launched 2024,https://www.bgauss.com/ruv350/,official OEM product page,2026-09-12,verified,Rider Utility Vehicle with 16-inch alloy wheels and metal body.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Bajaj Auto,Chetak 3001,electric scooter,,,3.0,127.0,IDC,63.0,,current,https://www.chetak.com/faqs,official OEM FAQ,2026-09-07,verified,No comparable ex-showroom price captured.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Bajaj Auto,Chetak 3501,electric scooter,134500.0,ex-showroom Delhi,3.5,153.0,certified,73.0,,current,https://www.chetak.com/blogs/understanding-e-scooter-prices-in-india-a-look-at-bajaj-chetak,official OEM product page,2026-09-07,verified,Price location-specific.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Bajaj Auto,Chetak 3502,electric scooter,122500.0,ex-showroom Delhi,3.5,153.0,certified,73.0,,current,https://www.chetak.com/blogs/understanding-e-scooter-prices-in-india-a-look-at-bajaj-chetak,official OEM product page,2026-09-07,verified,Price location-specific.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Bajaj Auto,Chetak 3503,electric scooter,,,3.5,151.0,IDC,63.0,,current,https://www.chetak.com/blogs/electric-scooter-comparison-performance-and-battery-technology-analysis,official OEM product page,2026-09-07,verified,No comparable ex-showroom price captured.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
Bajaj Auto,Chetak C2501,electric scooter,91504.0,ex-showroom Bengaluru,2.5,113.0,IDC,55.0,,current,https://www.chetak.com/-/media/chetakv2/chetak-c2501/chetak-c2501-brochure.pdf,official OEM brochure,2026-09-07,verified,Price from current Chetak homepage; specifications from brochure.,verified_product_catalog_2025_2026.csv,verified_primary_source,Yes
