kpi_name,business_meaning,formula,required_dataset,required_columns,source_provenance,unit,calculation_function,current_status,calculation_type
Annual EV registrations,Total verified EV sales in a year.,sum(e2w_registrations) by year,verified market registration dataset,"['year', 'e2w_registrations']",PENDING VERIFIED DATA,units,annual_market_volume,PENDING VERIFIED DATA,pending
Monthly EV registrations,Monthly EV volume for trend and seasonality analysis.,sum(e2w_registrations) by date,verified market registration dataset,"['date', 'e2w_registrations']",PENDING VERIFIED DATA,units,monthly_market_volume,PENDING VERIFIED DATA,pending
YoY growth,Annual change in EV registrations relative to the prior year.,((current - previous) / previous) * 100,verified market registration dataset,"['year', 'e2w_registrations']",PENDING VERIFIED DATA,%,yoy_growth,PENDING VERIFIED DATA,pending
CAGR,Compound annual growth rate across a multi-year trend window.,((end / start)^(1 / years) - 1) * 100,verified market registration dataset,"['year', 'e2w_registrations']",PENDING VERIFIED DATA,%,cagr,PENDING VERIFIED DATA,pending
EV penetration,Share of total 2W registrations represented by EVs.,(e2w_registrations / total_2w_registrations) * 100,verified market registration dataset,"['e2w_registrations', 'total_2w_registrations']",PENDING VERIFIED DATA,%,ev_penetration,PENDING VERIFIED DATA,pending
TAM,Total addressable market under an explicit market-size model.,total_market_units * avg_price or equivalent configurable model,verified market sizing inputs,['total_market_units'],PENDING VERIFIED DATA,units or INR,tam,PENDING VERIFIED DATA,pending
SAM,Serviceable addressable market in the target segment.,target_units * target_share,verified market sizing inputs,"['target_units', 'target_share']",PENDING VERIFIED DATA,units or INR,sam,PENDING VERIFIED DATA,pending
SOM,Serviceable obtainable market under explicit adoption assumptions.,SAM * target_market_share,verified market sizing inputs,"['sam_units', 'target_market_share']",PENDING VERIFIED DATA,units or INR,som,PENDING VERIFIED DATA,pending
OEM market share,Share of annual EV registrations by OEM.,(OEM registrations / total registrations) * 100,verified OEM registration dataset,"['oem_name', 'year', 'e2w_registrations']",PENDING VERIFIED DATA,%,oem_market_share,PENDING VERIFIED DATA,pending
HHI,Market concentration measure based on verified OEM share data.,sum(market_share_pct^2),verified OEM registration dataset,"['oem_name', 'year', 'market_share_pct']",PENDING VERIFIED DATA,index,market_concentration_hhi,PENDING VERIFIED DATA,pending
Manufacturer count,Distinct manufacturers represented in the verified product catalog.,nunique(manufacturer),verified_product_catalog_2025_2026.csv,['manufacturer'],verified_primary_source,count,compute_manufacturer_count,VERIFIED,verified
Product count,Distinct product variants in the verified catalog.,nunique(model_name),verified_product_catalog_2025_2026.csv,['model_name'],verified_primary_source,count,compute_product_count,VERIFIED,verified
Average product price,Mean verified ex-showroom price across the product set.,mean(ex_showroom_price_inr),verified_product_catalog_2025_2026.csv,['ex_showroom_price_inr'],verified_primary_source,INR,mean,VERIFIED,derived
Median product price,Median verified ex-showroom price across the product set.,median(ex_showroom_price_inr),verified_product_catalog_2025_2026.csv,['ex_showroom_price_inr'],verified_primary_source,INR,median,VERIFIED,derived
Price per certified km,Ex-showroom price relative to certified range.,ex_showroom_price_inr / certified_range_km,verified_product_catalog_2025_2026.csv,"['ex_showroom_price_inr', 'certified_range_km']",verified_primary_source,INR/km,compute_price_per_certified_km,VERIFIED,derived
Price per kWh,Ex-showroom price relative to battery capacity.,ex_showroom_price_inr / battery_capacity_kwh,verified_product_catalog_2025_2026.csv,"['ex_showroom_price_inr', 'battery_capacity_kwh']",verified_primary_source,INR/kWh,compute_price_per_kwh,VERIFIED,derived
Average battery capacity,Mean verified battery capacity.,mean(battery_capacity_kwh),verified_product_catalog_2025_2026.csv,['battery_capacity_kwh'],verified_primary_source,kWh,mean,VERIFIED,derived
Average certified range,Mean certified range across the verified catalog.,mean(certified_range_km),verified_product_catalog_2025_2026.csv,['certified_range_km'],verified_primary_source,km,mean,VERIFIED,derived
Range realization %,Real-world range as a share of certified range.,(real_world_range_km / certified_range_km) * 100,verified_product_catalog_2025_2026.csv,"['real_world_range_km', 'certified_range_km']",verified_primary_source,%,compute_range_realization,VERIFIED,derived
Product value score,"A normalized weighted score for price efficiency, range, battery, and performance.",weighted normalized components,verified_product_catalog_2025_2026.csv,"['ex_showroom_price_inr', 'certified_range_km', 'battery_capacity_kwh', 'top_speed_kmh']",verified_primary_source,0-100,compute_value_score,VERIFIED,derived
Gross margin %,Gross margin relative to selling price.,(selling_price - COGS) / selling_price * 100,verified cost input template,"['selling_price', 'cogs']",PENDING_COST_DATA,%,compute_gross_margin_pct,PENDING VERIFIED COST DATA,pending
Contribution margin,Revenue contribution after variable costs.,selling_price * units_sold - variable_cost * units_sold,verified cost input template,"['selling_price', 'variable_cost', 'units_sold']",PENDING_COST_DATA,INR,compute_contribution_margin,PENDING VERIFIED COST DATA,pending
Contribution margin %,Contribution margin as a percent of selling price.,((selling_price - variable_cost) / selling_price) * 100,verified cost input template,"['selling_price', 'variable_cost']",PENDING_COST_DATA,%,compute_contribution_margin_pct,PENDING VERIFIED COST DATA,pending
Break-even units,Units required to cover fixed costs.,fixed_cost / contribution_margin_per_unit,verified cost input template,"['fixed_cost', 'selling_price', 'variable_cost']",PENDING_COST_DATA,units,compute_break_even_units,PENDING VERIFIED COST DATA,pending
Break-even revenue,Revenue needed to reach break-even.,break_even_units * selling_price,verified cost input template,"['fixed_cost', 'selling_price', 'variable_cost']",PENDING_COST_DATA,INR,compute_break_even_revenue,PENDING VERIFIED COST DATA,pending
TCO,Lifetime total cost of ownership for a verified vehicle scenario.,purchase_price - subsidy + electricity + maintenance + insurance + financing + other costs,verified cost and ownership assumptions,"['purchase_price', 'subsidy', 'electricity_cost', 'maintenance_cost', 'insurance_cost']",PENDING_COST_DATA,INR,compute_tco,PENDING VERIFIED COST DATA,pending
Geographic Attractiveness Index (GAI),"State-level attractiveness score based on verified market, policy, and infrastructure inputs.",weighted normalized components,verified state indicator dataset,"['state', 'market_size', 'ev_penetration', 'growth', 'purchasing_power', 'charging_infrastructure', 'policy_score']",PENDING VERIFIED DATA,0-100,compute_gai_template,PENDING VERIFIED DATA,pending
Competitive intensity score,A score describing competitive density for the product set.,"weighted manufacturer count, product count, price density, and segment density",verified product catalog,"['manufacturer', 'model_name', 'vehicle_category', 'ex_showroom_price_inr']",verified_primary_source,0-100,compute_competitive_intensity,VERIFIED,derived
Product-market fit score,A fit score expressing alignment between product features and value expectations.,"weighted normalized range, battery, and value score",verified product catalog,"['certified_range_km', 'battery_capacity_kwh', 'ex_showroom_price_inr']",verified_primary_source,0-100,compute_product_market_fit,VERIFIED,derived
Strategic priority score,Combined attractiveness and competitive score for prioritization.,weighted market attractiveness + competitive intensity + product-market fit + geographic attractiveness,framework-ready inputs,"['market_attractiveness', 'competitive_intensity', 'product_market_fit', 'geographic_attractiveness']",PENDING VERIFIED DATA,0-100,compute_strategic_priority_score,PENDING VERIFIED DATA,pending
